Zero,,,,One,,,,Two,,,,Three,,,,Four,,,
x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper
66,3671.645887,3640.115008,3703.176765,82.99,3279.85069,3275.977908,3283.723471,95,3142.029818,3135.940891,3148.118744,113,3070.791567,3056.693193,3084.889941,138,3031.24739,3017.700318,3044.794462
66.3,3669.26612,3637.824196,3700.708045,83,3279.819417,3275.946939,3283.691896,96,3140.429455,3134.378232,3146.480678,114,3069.622714,3055.610961,3083.634467,139,3030.397483,3016.911762,3043.883205
67,3663.714378,3632.474418,3694.954338,84,3276.692446,3272.849617,3280.535275,97,3138.829144,3132.814563,3144.843725,115,3068.454207,3054.52672,3082.381694,141,3028.700126,3015.333614,3042.066639
67.99,3655.865127,3624.897199,3686.833056,84.46,3275.25423,3271.424612,3279.083848,98,3137.228884,3131.249865,3143.207903,116,3067.286047,3053.440439,3081.131655,142,3027.852676,3014.543998,3041.161354
68,3655.785857,3624.820594,3686.75112,85,3273.566043,3269.751584,3277.380501,99,3135.628675,3129.684118,3141.573233,117,3066.118234,3052.352086,3079.884381,144,3026.160234,3012.963624,3039.356844
69,3647.860323,3617.153125,3678.567521,86,3270.440208,3266.652813,3274.227602,100,3134.028518,3128.117304,3139.939733,118,3064.950767,3051.26163,3078.639905,145,3025.315241,3012.172841,3038.457641
69.04,3647.543364,3616.846137,3678.240591,86,3270.440208,3266.652813,3274.227602,100.5401,3133.164295,3127.270617,3139.057973,119,3063.783648,3050.16904,3077.398255,147,3023.627713,3010.590026,3036.6654
70,3639.937777,3609.471616,3670.403938,87,3267.31494,3263.553276,3271.076605,101.14,3132.204402,3126.329809,3138.078995,120.0771,3062.526931,3048.989791,3076.064071,148,3022.785177,3009.79797,3035.772384
70.36,3637.086392,3606.702761,3667.470023,88,3264.190241,3260.452946,3267.927535,102,3130.828358,3124.980397,3136.676319,122,3060.284369,3046.878173,3073.690565,150,3021.102563,3008.212508,3033.992618
71,3632.018218,3601.775683,3662.260754,88,3264.190241,3260.452946,3267.927535,103,3129.228355,3123.410268,3135.046443,123,3059.118636,3045.776757,3072.460516,151,3020.262485,3007.419079,3033.105891
71.86,3625.209787,3595.145367,3655.274207,89,3261.066109,3257.351799,3264.78042,104,3127.628404,3121.838997,3133.41781,124,3057.95325,3044.673065,3071.233436,153,3018.584785,3005.830773,3031.338798
72,3624.101647,3594.064963,3654.138331,89.57,3259.285608,3255.583769,3262.987447,105,3126.028504,3120.266567,3131.79044,125,3056.788211,3043.567072,3070.009351,154,3017.747164,3005.035875,3030.458453
73,3616.188063,3586.339115,3646.037011,90,3257.942545,3254.249808,3261.635282,106,3124.428655,3118.692961,3130.164349,126.7,3054.808441,3041.681534,3067.935348,156,3016.074379,3003.444541,3028.704218
73,3616.188063,3586.339115,3646.037011,91,3254.81955,3251.146951,3258.492148,107,3122.828858,3117.118161,3128.539554,128,3053.295174,3040.235046,3066.355303,157,3015.239215,3002.648085,3027.830346
74,3608.277467,3578.597821,3637.957113,91.4,3253.57051,3249.905561,3257.23546,108,3121.229112,3115.542152,3126.916071,129,3052.131522,3039.119614,3065.14343,159,3013.571345,3001.053552,3026.089137
74.48,3604.481442,3574.876426,3634.086457,92,3251.697122,3248.043205,3255.351038,109,3119.629417,3113.964917,3125.293917,130,3050.968217,3038.001771,3063.934663,161,3011.906751,2999.456801,3024.3567
75,3600.369858,3570.840788,3629.898928,93,3248.575262,3244.938548,3252.211975,110,3118.029774,3112.386442,3123.673105,131,3049.805258,3036.881498,3062.729018,162,3011.075682,2998.657573,3023.493791
76,3592.465236,3563.067755,3621.862718,93.64,3246.577569,3242.95108,3250.204058,111,3116.430182,3110.806713,3122.053651,133,3047.480381,3034.633598,3060.327165,164,3009.416002,2997.057379,3021.774625
76,3592.465236,3563.067755,3621.862718,94,3245.45397,3241.83296,3249.074979,112,3114.830641,3109.225714,3120.435569,134,3046.318463,3033.505942,3059.130984,166,3007.759598,2995.454821,3020.064376
77,3584.563602,3555.278491,3613.848713,95,3242.333245,3238.726424,3245.940067,113,3113.231152,3107.643434,3118.81887,135,3045.156892,3032.3758,3057.937983,168,3006.106471,2993.849853,3018.36309
77.6,3579.824056,3550.59706,3609.051052,96,3239.213089,3235.618921,3242.807257,114,3111.631715,3106.059861,3117.203569,137,3042.834789,3030.108018,3055.561559,169.7568,3004.657067,2992.438028,3016.876106
78,3576.664956,3547.472802,3605.85711,96.17,3238.682719,3235.090548,3242.27489,115.09,3109.888386,3104.332279,3115.444494,138,3041.674258,3028.970363,3054.378152,171,3003.632923,2991.437796,3015.82805
79,3568.769297,3539.650525,3597.888068,97,3236.093501,3232.510437,3239.676564,116.8,3107.153563,3101.618878,3112.688247,140,3039.354235,3026.687504,3052.020967,173,3001.987987,2989.826644,3014.149329
