flat_x,flat_y,flat_ci_lower,flat_ci_upper,terrace_x,terrace_y,terrace_ci_lower,terrace_ci_upper,semi_x,semi_y,semi_ci_lower,semi_ci_upper,detached_x,detached_y,detached_ci_lower,detached_ci_upper
80.94,3344.83095,3247.171024,3442.490876,110,2858.042328,2855.732149,2860.352507,118,3064.577959,3062.473388,3066.682531,184,3330.818164,3327.970202,3333.666126
82,3324.709472,3224.974302,3424.444642,111.32,2845.224049,2842.866008,2847.582089,120,3043.534818,3041.36971,3045.699925,188,3307.362391,3304.430035,3310.294747
83.62,3293.98309,3190.948698,3397.017481,113,2828.919547,2826.49863,2831.340464,122,3022.499359,3020.271257,3024.727462,192,3283.909735,3280.889375,3286.930094
85,3267.832898,3161.876327,3373.78947,115.5,2804.676951,2802.158749,2807.195153,124,3001.471585,2999.178236,3003.764934,197,3254.598297,3251.463324,3257.73327
87,3229.973479,3119.617817,3340.32914,118,2780.458344,2777.838872,2783.077816,127,2969.94433,2967.549302,2972.339358,203,3219.430999,3216.152447,3222.709551
89,3192.160696,3077.232898,3307.088495,120.94,2752.007956,2749.26492,2754.750991,130,2938.434364,2935.933596,2940.935131,209,3184.270714,3180.842782,3187.698646
92,3135.528967,3013.463581,3257.594354,124,2722.431562,2719.555462,2725.307662,134,2896.447968,2893.800762,2899.095173,216,3143.259245,3139.650676,3146.867814
95,3079.002172,2949.5164,3208.487943,127.16,2691.92634,2688.908724,2694.943956,138,2854.492307,2851.693358,2857.291255,224,3096.400681,3092.578487,3100.222875
98,3022.58031,2885.440395,3159.720225,132,2645.27746,2642.036332,2648.518588,142.31,2809.319482,2806.352059,2812.286905,233.16,3042.762935,3038.688242,3046.837628
102,2947.51439,2799.873267,3095.155513,137,2597.180889,2593.701874,2600.659904,148,2749.737618,2746.541287,2752.93395,245,2973.456265,2969.045008,2977.867523
108,2835.265288,2671.38361,2999.146967,143.82,2531.731871,2527.919536,2535.544206,156,2666.072174,2662.5442,2669.600147,260,2885.691418,2880.840819,2890.542017
115.15,2702.049893,2518.265088,2885.834697,153,2443.916685,2439.643903,2448.189466,166,2561.663251,2557.70885,2565.617652,281,2762.894263,2757.410633,2768.377892
127,2482.578878,2264.97611,2700.181646,166.82008,2312.32486,2307.342221,2317.3075,181,2405.41004,2400.799376,2410.020704,312,2581.779271,2575.335263,2588.223278
149,2079.463471,1797.716763,2361.210179,193.4054,2061.246667,2054.869576,2067.623759,211.62,2087.786803,2081.802449,2093.771157,373,2225.938284,2217.553685,2234.322884
