one_x,one_y,one_ci_lower,one_ci_upper,two_x,two_y,two_ci_lower,two_ci_upper,three_x,three_y,three_ci_lower,three_ci_upper,four_x,four_y,four_ci_lower,four_ci_upper,five_x,five_y,five_ci_lower,five_ci_upper,six_x,six_y,six_ci_lower,six_ci_upper,seven_x,seven_y,seven_ci_lower,seven_ci_upper,eight_x,eight_y,eight_ci_lower,eight_ci_upper,nine_x,nine_y,nine_ci_lower,nine_ci_upper,ten_x,ten_y,ten_ci_lower,ten_ci_upper
26,4839.922721,4729.518863,4950.326578,39.98,4139.806527,4067.619192,4211.993861,55,3988.181941,3911.664579,4064.699302,68,3489.665166,3485.540346,3493.789985,79,3403.853577,3352.984372,3454.722782,100,3368.808955,3363.362933,3374.254978,119,3413.534794,3403.620622,3423.448965,142,3379.38783,3363.682635,3395.093025,172,3282.327138,3255.817071,3308.837206,204,3207.354791,3175.099964,3239.609618
26,4839.922721,4729.518863,4950.326578,40,4138.965953,4066.825466,4211.10644,55,3988.181941,3911.664579,4064.699302,68,3489.665166,3485.540346,3493.789985,79.6,3396.869119,3346.548254,3447.189984,100.64,3364.516165,3359.121485,3369.910845,120,3408.012158,3398.209719,3417.814597,143,3374.999526,3359.434849,3390.564203,173,3279.444062,3253.116558,3305.771565,206,3202.57863,3170.741018,3234.416243
26,4839.922721,4729.518863,4950.326578,40,4138.965953,4066.825466,4211.10644,55.58,3969.841113,3894.595294,4045.086932,68.7,3479.187637,3475.125872,3483.249402,80,3392.21321,3342.247213,3442.179207,101,3362.102116,3356.735728,3367.468505,121,3402.491203,3392.79719,3412.185216,144,3370.612072,3355.18482,3386.039324,174,3276.561079,3250.412906,3302.709252,207.9032,3198.047214,3166.589887,3229.504541
26.18,4835.39865,4725.352432,4945.444868,40,4138.965953,4066.825466,4211.10644,56,3956.56358,3882.196278,4030.930881,69,3474.69819,3470.66242,3478.73396,80,3392.21321,3342.247213,3442.179207,102,3355.398865,3350.10878,3360.688951,121.21,3401.332016,3391.660342,3411.003689,145,3366.225468,3350.932468,3381.518469,176,3270.795394,3244.995911,3296.594877,209,3195.441807,3164.196126,3226.687487
26.7,4822.332493,4713.282955,4931.382032,40.3,4126.358475,4054.904524,4197.812426,56,3956.56358,3882.196278,4030.930881,69,3474.69819,3470.66242,3478.73396,81,3380.574823,3331.457248,3429.692397,102,3355.398865,3350.10878,3360.688951,122,3396.971928,3387.382928,3406.560929,146,3361.839715,3346.677711,3377.001719,177,3267.912692,3242.282435,3293.54295,211,3190.702203,3159.828149,3221.576256
27,4814.79661,4706.297001,4923.296219,41,4096.949246,4026.975519,4166.922972,56,3956.56358,3882.196278,4030.930881,70,3459.737364,3455.783596,3463.691133,81,3380.574823,3331.457248,3429.692397,103,3348.699202,3343.481951,3353.916453,123,3391.454334,3381.966824,3400.941844,147,3357.454812,3342.420467,3372.489157,178,3265.030084,3239.565548,3290.49462,212,3188.337884,3157.642647,3219.033121
27,4814.79661,4706.297001,4923.296219,41,4096.949246,4026.975519,4166.922972,56.63,3936.653196,3863.534104,4009.772289,70,3459.737364,3455.783596,3463.691133,81.93,3369.7529,3321.372695,3418.133104,103.18,3347.493644,3342.289124,3352.698163,123.7,3387.593018,3378.174397,3397.011638,148,3353.070759,3338.160653,3367.980865,179.56,3260.533404,3235.320235,3285.746572,214,3183.620213,3153.268461,3213.971965
27,4814.79661,4706.297001,4923.296219,41,4096.949246,4026.975519,4166.922972,57,3924.963105,3852.536706,3997.389505,70.16,3457.344203,3453.402872,3461.285534,82,3368.938415,3320.611631,3417.2652,104,3342.003126,3336.855105,3347.151148,124,3385.93842,3376.54877,3395.32807,149,3348.687556,3333.898187,3363.476926,181,3256.382824,3231.393745,3281.371902,215.5856,3179.890436,3149.797466,3209.983406
27,4814.79661,4706.297001,4923.296219,41,4096.949246,4026.975519,4166.922972,57,3924.963105,3852.536706,3997.389505,71,3444.782689,3440.90344,3448.661937,82,3368.938415,3320.611631,3417.2652,104.68,3337.451844,3332.348769,3342.554919,125,3380.424186,3371.128655,3389.719718,150,3344.305204,3329.632985,3358.977423,182,3253.500591,3228.662533,3278.338649,217,3176.571125,3146.698798,3206.443451
27,4814.79661,4706.297001,4923.296219,41.22,4087.708721,4018.163742,4157.253701,57,3924.963105,3852.536706,3997.389505,71,3444.782689,3440.90344,3448.661937,83,3357.303989,3309.707527,3404.90045,105,3335.310638,3330.228103,3340.393174,126,3374.911633,3365.706372,3384.116895,151,3339.923702,3325.364963,3354.482441,183,3250.618452,3225.927568,3275.309336,219,3171.89001,3142.313128,3201.466893
27.56,4800.734099,4693.210842,4908.257356,41.84,4061.673359,3993.238804,4130.107915,57.8,3899.695604,3828.660079,3970.731129,71.5,3437.307657,3433.462729,3441.152585,83,3357.303989,3309.707527,3404.90045,106,3328.621738,3323.600809,3333.642667,126.02,3374.801399,3365.597903,3384.004896,152,3335.54305,3321.094039,3349.992062,184.6,3246.007225,3221.543645,3270.470806,221,3167.223519,3137.922527,3196.524511
28,4789.689069,4682.886185,4896.491952,42,4054.956021,3986.783973,4123.12807,58,3893.380517,3822.66913,3964.091904,72,3429.834163,3426.021527,3433.6468,83.46,3351.952817,3304.671231,3399.234404,106,3328.621738,3323.600809,3333.642667,127,3369.400761,3360.28181,3378.519712,153,3331.163249,3316.820128,3345.506369,186,3241.972598,3217.699465,3266.245732,222,3164.895756,3135.725328,3194.066185
28,4789.689069,4682.886185,4896.491952,42,4054.956021,3986.783973,4123.12807,58,3893.380517,3822.66913,3964.091904,72,3429.834163,3426.021527,3433.6468,84,3345.671542,3298.742154,3392.60093,107,3321.936425,3316.973088,3326.899762,128,3363.891568,3354.854861,3372.928275,154,3326.784297,3312.543149,3341.025445,187,3239.090835,3214.948802,3263.232868,224,3160.251198,3131.327049,3189.175348
28,4789.689069,4682.886185,4896.491952,42,4054.956021,3986.783973,4123.12807,58,3893.380517,3822.66913,3964.091904,72.74,3418.776214,3415.007538,3422.544889,84,3345.671542,3298.742154,3392.60093,107,3321.936425,3316.973088,3326.899762,128.5,3361.137602,3352.140459,3370.134746,155,3322.406196,3308.263021,3336.549371,188,3236.209165,3212.194045,3260.224285,225,3157.934403,3129.125941,3186.742865
28,4789.689069,4682.886185,4896.491952,42,4054.956021,3986.783973,4123.12807,58.86,3866.233797,3796.804212,3935.663382,73,3414.891788,3411.137447,3418.646128,84.7,3337.530008,3291.028491,3384.031525,108,3315.2547,3310.34481,3320.16459,129,3358.384057,3349.42542,3367.342693,156,3318.028945,3303.979662,3332.078228,189.15,3232.89536,3209.020928,3256.769793,227,3153.311779,3124.719732,3181.903826
28.09,4787.430301,4680.769616,4894.090985,42.37,4039.42448,3971.820642,4107.028318,59,3861.815815,3792.577265,3931.054366,73,3414.891788,3411.137447,3418.646128,85,3334.041076,3287.712819,3380.369333,108.1,3314.586725,3309.681946,3319.491503,130,3352.878225,3343.993382,3361.763069,157,3313.652545,3299.692994,3327.612095,191,3227.564718,3203.904556,3251.22488,229,3148.703777,3120.308148,3177.099406
28.68,4772.626547,4666.854063,4878.399032,43,4012.98628,3946.222027,4079.750533,59,3861.815815,3792.577265,3931.054366,74,3399.955562,3396.250821,3403.660304,85,3334.041076,3287.712819,3380.369333,109,3308.576562,3303.715846,3313.437279,131,3347.374074,3338.558644,3356.189505,158,3309.276994,3295.402939,3323.15105,192,3224.683423,3201.132773,3248.234074,230.03,3146.336361,3118.034074,3174.638647
29,4764.600097,4659.276994,4869.9232,43,4012.98628,3946.222027,4079.750533,59.07,3859.606956,3790.462033,3928.75188,74,3399.955562,3396.250821,3403.660304,86,3322.41259,3276.616966,3368.208214,109.48,3305.372331,3300.533665,3310.210997,131.1,3346.823751,3338.015017,3355.632485,159,3304.902294,3291.109421,3318.695168,193,3221.802222,3198.356575,3245.247869,232,3141.819192,3113.680636,3169.957748
29,4764.600097,4659.276994,4869.9232,43,4012.98628,3946.222027,4079.750533,59.97223,3831.144814,3763.091548,3899.198079,74,3399.955562,3396.250821,3403.660304,86,3322.41259,3276.616966,3368.208214,110,3301.902013,3297.086078,3306.717948,132,3341.871603,3333.121107,3350.622099,160,3300.528444,3286.812367,3314.244522,195,3216.040102,3192.790698,3239.289506,233.4,3138.617645,3110.583642,3166.651647
