Smallest quintile,,,,Second smallest,,,,Middle,,,,Second biggest,,,,Biggest quintile,,,
x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper
58.27,4179.716787,3951.81318,4407.620395,57.62,3879.504553,3861.064177,3897.944928,61.2,3771.605371,3757.61058,3785.600162,66,3492.096177,3485.143367,3499.048988,67,3408.22997,3400.44409,3416.015849
59,4168.450114,3942.272466,4394.627761,58.09,3874.896018,3856.561477,3893.230559,62,3764.470524,3750.61155,3778.329498,66.66,3489.090272,3482.178816,3496.001728,67.81,3405.740584,3398.000937,3413.480232
59.88,4154.869968,3930.733558,4379.006378,59,3865.975206,3847.84208,3884.108331,63,3755.562208,3741.868938,3769.255478,67.28,3486.266602,3479.393317,3493.139887,68.5,3403.620414,3395.919504,3411.321324
60.4,4146.846158,3923.895264,4369.797051,59.52,3860.87884,3842.858691,3878.898988,63.7,3749.333158,3735.753128,3762.913188,68,3482.987574,3476.157779,3489.817369,69.18,3401.531346,3393.868021,3409.194671
61.1,4136.045837,3914.666071,4357.425604,60,3856.175303,3838.258044,3874.092561,64.34,3743.642906,3730.164383,3757.12143,68.8,3479.3443,3472.561752,3486.126848,70,3399.012672,3391.393879,3406.631464
62,4122.161336,3902.758954,4341.563718,60.9,3847.358243,3829.630208,3865.086279,65,3737.779717,3724.403807,3751.155626,69.32,3476.976223,3470.223767,3483.728678,70.86934,3396.343039,3388.770499,3403.915578
62.9,4108.278661,3890.804514,4325.752808,61.56,3840.894118,3823.301714,3858.486523,66,3728.905542,3715.681029,3742.130054,70,3473.879568,3467.165717,3480.593419,71.5,3394.406743,3386.867129,3401.946357
63.6,4097.482288,3881.473073,4313.491503,62.2,3834.627264,3817.163786,3852.090742,66.55,3724.029597,3710.886217,3737.172976,70.68,3470.782982,3464.106875,3477.459089,72.1,3392.564879,3385.056095,3400.073664
64.21,4088.074922,3873.316932,4302.832912,63,3826.795618,3809.489622,3844.101615,67.18,3718.448653,3705.396308,3731.500998,71.18,3468.506124,3461.857214,3475.155035,73,3389.802628,3382.339166,3397.26609
65,4075.892858,3862.719516,4289.066201,63.84,3818.57469,3801.429544,3835.719835,68,3711.191333,3698.25439,3724.128277,72,3464.772159,3458.16681,3471.377508,73.72,3387.593297,3380.165287,3395.021308
65.83,4063.095498,3851.542627,4274.648369,64.47,3812.410538,3795.382928,3829.438149,68.68,3705.178872,3692.33493,3718.022814,72.5,3462.4954,3455.91597,3469.07483,74.32,3385.752507,3378.353485,3393.15153
66.4,4054.30785,3843.84095,4264.77475,65.1,3806.247712,3789.334919,3823.160505,69.24,3700.231385,3687.462164,3713.000606,73,3460.218679,3453.664674,3466.772684,75,3383.66663,3376.299842,3391.033417
67,4045.058485,3835.710641,4254.40633,66,3797.445972,3780.692383,3814.19956,70,3693.522647,3680.852091,3706.193202,73.88,3456.21174,3449.701265,3462.722214,75.93,3380.814489,3373.49071,3388.138267
67.92,4030.877703,3823.196916,4238.558491,66.63,3791.286362,3774.640769,3807.931956,70.61,3688.142756,3675.549073,3700.73644,74.34,3454.117249,3447.628903,3460.605595,76.5,3379.066747,3371.768706,3386.364787
68.48,4022.246858,3815.551344,4228.942371,67.1886,3785.82595,3769.273688,3802.378212,71.2,3682.943285,3670.421958,3695.464611,75,3451.112166,3444.654806,3457.569526,77.08,3377.288612,3370.016268,3384.560955
69,4014.233134,3808.432224,4220.034045,68,3777.896228,3761.475398,3794.317058,72,3675.899481,3663.473085,3688.325878,75.68,3448.016088,3441.589701,3454.442475,78,3374.468678,3367.236066,3381.701289
69.92,4000.056503,3795.789689,4204.323317,68.64,3771.64313,3755.322446,3787.963814,72.74,3669.390448,3657.048551,3681.732344,76.16,3445.830662,3439.425549,3452.235775,78.65,3372.476744,3365.271433,3379.682055
70.41,3992.506685,3789.031174,4195.982195,69.18,3766.368142,3750.129495,3782.606789,73.32,3664.293129,3652.015205,3676.571054,77,3442.006251,3435.637177,3448.375324,79.26,3370.607701,3363.427423,3377.787979
71,3983.416806,3780.869951,4185.963662,70,3758.359835,3742.241379,3774.478291,74,3658.321838,3646.116353,3670.527323,77.53,3439.593283,3433.246159,3445.940407,80,3368.34074,3361.190058,3375.491422
71.8918,3969.678714,3768.484731,4170.872697,70.65,3752.013382,3735.986378,3768.040385,74.8,3651.303527,3639.179678,3663.427375,78,3437.453517,3431.125342,3443.781692,80.83,3365.798593,3358.680089,3372.917096
